"","level","Overall","0","1","2","p","test","Missing"
"n","","243","109","62","72","","",""
"chest_imaging (%)","0","44 (18.3)","17 (15.9)","15 (24.6)","12 (16.7)","0.340","","1.2"
"","1","196 (81.7)","90 (84.1)","46 (75.4)","60 (83.3)","","",""
"chest_imaging_pulmedema (%)","0","141 (73.1)","60 (66.7)","33 (75.0)","48 (81.4)","0.134","","20.6"
"","1","52 (26.9)","30 (33.3)","11 (25.0)","11 (18.6)","","",""
"chest_imaging_effusion (%)","0","125 (64.4)","56 (62.2)","27 (61.4)","42 (70.0)","0.553","","20.2"
"","1","69 (35.6)","34 (37.8)","17 (38.6)","18 (30.0)","","",""
"ecg (%)","0","32 (13.2)","14 (12.8)","10 (16.4)","8 (11.1)","0.661","","0.4"
"","1","210 (86.8)","95 (87.2)","51 (83.6)","64 (88.9)","","",""
"days_to_ecg (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.00, 6.50]","1.00 [0.00, 4.25]","0.574","nonnorm","13.6"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","459.50 [441.50, 486.25]","464.50 [450.50, 481.25]","451.00 [423.00, 478.00]","0.052","nonnorm","16.5"
"echo (%)","0","64 (26.6)","30 (27.5)","15 (25.0)","19 (26.4)","0.938","","0.8"
"","1","177 (73.4)","79 (72.5)","45 (75.0)","53 (73.6)","","",""
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","7.00 [3.00, 20.00]","7.00 [2.00, 27.00]","2.00 [1.00, 6.00]","<0.001","nonnorm","27.2"
"echo_ef_notavailable___999 (%)","0","242 (99.6)","109 (100.0)","61 (98.4)","72 (100.0)","0.231","","0.0"
"","1","1 (0.4)","0 (0.0)","1 (1.6)","0 (0.0)","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","67.50 [65.00, 71.00]","65.00 [60.00, 69.13]","66.00 [62.50, 70.00]","0.059","nonnorm","25.1"
"echo_late_notavailable___999 (%)","0","152 (62.6)","67 (61.5)","38 (61.3)","47 (65.3)","0.850","","0.0"
"","1","91 (37.4)","42 (38.5)","24 (38.7)","25 (34.7)","","",""
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [9.00, 15.00]","12.70 [8.36, 13.25]","11.00 [9.80, 12.77]","0.400","nonnorm","68.3"
"echo_tr_notavailable___999 (%)","0","123 (50.6)","56 (51.4)","31 (50.0)","36 (50.0)","0.977","","0.0"
"","1","120 (49.4)","53 (48.6)","31 (50.0)","36 (50.0)","","",""
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","170.00 [2.70, 253.50]","238.00 [115.72, 245.90]","215.00 [2.54, 270.10]","0.996","nonnorm","77.0"
"echo_gls_notavailable___999 (%)","0","101 (41.6)","45 (41.3)","26 (41.9)","30 (41.7)","0.996","","0.0"
"","1","142 (58.4)","64 (58.7)","36 (58.1)","42 (58.3)","","",""
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.20 [-20.82, 21.22]","-19.45 [-21.15, -3.65]","1.08 [-20.95, 24.35]","0.896","nonnorm","88.5"
"echo_earatio_notavailable___999 (%)","0","171 (70.4)","75 (68.8)","42 (67.7)","54 (75.0)","0.585","","0.0"
"","1","72 (29.6)","34 (31.2)","20 (32.3)","18 (25.0)","","",""
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.20 [0.90, 1.48]","0.96 [0.85, 1.14]","1.08 [0.87, 1.30]","0.105","nonnorm","56.8"
"echo_eeratio_notavailable___999 (%)","0","166 (68.3)","70 (64.2)","42 (67.7)","54 (75.0)","0.310","","0.0"
"","1","77 (31.7)","39 (35.8)","20 (32.3)","18 (25.0)","","",""
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","8.35 [7.00, 11.00]","8.10 [7.50, 9.75]","8.95 [6.92, 10.53]","0.953","nonnorm","58.8"
"echo_rvsp_notavailable___999 (%)","0","147 (60.5)","63 (57.8)","44 (71.0)","40 (55.6)","0.141","","0.0"
"","1","96 (39.5)","46 (42.2)","18 (29.0)","32 (44.4)","","",""
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","35.00 [29.00, 41.00]","32.00 [24.00, 45.00]","31.00 [28.00, 38.00]","0.876","nonnorm","67.5"
"echo_pasp_notavailable___999 (%)","0","94 (38.7)","44 (40.4)","26 (41.9)","24 (33.3)","0.528","","0.0"
"","1","149 (61.3)","65 (59.6)","36 (58.1)","48 (66.7)","","",""
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","31.00 [29.00, 39.00]","29.00 [17.00, 34.00]","24.25 [7.38, 41.50]","0.677","nonnorm","90.9"
"echo_lavi_notavailable___999 (%)","0","206 (84.8)","93 (85.3)","51 (82.3)","62 (86.1)","0.807","","0.0"
"","1","37 (15.2)","16 (14.7)","11 (17.7)","10 (13.9)","","",""
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","32.00 [24.90, 40.00]","29.28 [24.90, 34.23]","34.50 [25.68, 40.25]","0.418","nonnorm","42.0"
"echo_trv_notavailable___999 (%)","0","101 (41.6)","47 (43.1)","27 (43.5)","27 (37.5)","0.705","","0.0"
"","1","142 (58.4)","62 (56.9)","35 (56.5)","45 (62.5)","","",""
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.67 [2.40, 2.80]","3.00 [2.60, 3.60]","2.51 [2.25, 2.87]","0.443","nonnorm","87.7"
