"","level","Overall","0","1","p","test","Missing"
"n","","243","109","134","","",""
"chest_imaging (%)","0","44 (18.3)","17 (15.9)","27 (20.3)","0.477","","1.2"
"","1","196 (81.7)","90 (84.1)","106 (79.7)","","",""
"chest_imaging_pulmedema (%)","0","141 (73.1)","60 (66.7)","81 (78.6)","0.088","","20.6"
"","1","52 (26.9)","30 (33.3)","22 (21.4)","","",""
"chest_imaging_effusion (%)","0","125 (64.4)","56 (62.2)","69 (66.3)","0.654","","20.2"
"","1","69 (35.6)","34 (37.8)","35 (33.7)","","",""
"ecg (%)","0","32 (13.2)","14 (12.8)","18 (13.5)","1.000","","0.4"
"","1","210 (86.8)","95 (87.2)","115 (86.5)","","",""
"days_to_ecg (median [IQR])","","1.00 [0.00, 4.00]","1.00 [0.00, 4.00]","1.00 [0.00, 5.50]","0.403","nonnorm","13.6"
"ecg_qtc (median [IQR])","","457.00 [439.50, 483.00]","459.50 [441.50, 486.25]","457.00 [433.00, 479.00]","0.471","nonnorm","16.5"
"echo (%)","0","64 (26.6)","30 (27.5)","34 (25.8)","0.871","","0.8"
"","1","177 (73.4)","79 (72.5)","98 (74.2)","","",""
"days_to_echo (median [IQR])","","5.00 [2.00, 18.00]","7.00 [3.00, 20.00]","4.00 [1.00, 12.00]","0.021","nonnorm","27.2"
"echo_ef_notavailable___999 (%)","0","242 (99.6)","109 (100.0)","133 (99.3)","1.000","","0.0"
"","1","1 (0.4)","0 (0.0)","1 (0.7)","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","67.50 [65.00, 71.00]","65.00 [62.50, 70.00]","0.046","nonnorm","25.1"
"echo_late_notavailable___999 (%)","0","152 (62.6)","67 (61.5)","85 (63.4)","0.856","","0.0"
"","1","91 (37.4)","42 (38.5)","49 (36.6)","","",""
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [9.00, 15.00]","11.00 [8.73, 13.00]","0.177","nonnorm","68.3"
"echo_tr_notavailable___999 (%)","0","123 (50.6)","56 (51.4)","67 (50.0)","0.933","","0.0"
"","1","120 (49.4)","53 (48.6)","67 (50.0)","","",""
"echo_trpeak (median [IQR])","","224.50 [2.62, 253.05]","170.00 [2.70, 253.50]","230.00 [2.50, 252.40]","0.935","nonnorm","77.0"
"echo_gls_notavailable___999 (%)","0","101 (41.6)","45 (41.3)","56 (41.8)","1.000","","0.0"
"","1","142 (58.4)","64 (58.7)","78 (58.2)","","",""
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.20 [-20.82, 21.22]","-18.65 [-20.95, 24.35]","0.679","nonnorm","88.5"
"echo_earatio_notavailable___999 (%)","0","171 (70.4)","75 (68.8)","96 (71.6)","0.734","","0.0"
"","1","72 (29.6)","34 (31.2)","38 (28.4)","","",""
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.20 [0.90, 1.48]","0.98 [0.86, 1.23]","0.049","nonnorm","56.8"
"echo_eeratio_notavailable___999 (%)","0","166 (68.3)","70 (64.2)","96 (71.6)","0.272","","0.0"
"","1","77 (31.7)","39 (35.8)","38 (28.4)","","",""
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","8.35 [7.00, 11.00]","8.60 [7.05, 10.30]","0.759","nonnorm","58.8"
"echo_rvsp_notavailable___999 (%)","0","147 (60.5)","63 (57.8)","84 (62.7)","0.520","","0.0"
"","1","96 (39.5)","46 (42.2)","50 (37.3)","","",""
"echo_rvsp (median [IQR])","","33.00 [28.00, 41.00]","35.00 [29.00, 41.00]","31.50 [28.00, 40.75]","0.615","nonnorm","67.5"
"echo_pasp_notavailable___999 (%)","0","94 (38.7)","44 (40.4)","50 (37.3)","0.724","","0.0"
"","1","149 (61.3)","65 (59.6)","84 (62.7)","","",""
"echo_pasp (median [IQR])","","30.00 [20.38, 40.00]","31.00 [29.00, 39.00]","29.00 [10.50, 39.00]","0.408","nonnorm","90.9"
"echo_lavi_notavailable___999 (%)","0","206 (84.8)","93 (85.3)","113 (84.3)","0.972","","0.0"
"","1","37 (15.2)","16 (14.7)","21 (15.7)","","",""
"echo_lavi (median [IQR])","","32.00 [24.90, 39.50]","32.00 [24.90, 40.00]","31.00 [24.92, 39.05]","0.802","nonnorm","42.0"
"echo_trv_notavailable___999 (%)","0","101 (41.6)","47 (43.1)","54 (40.3)","0.754","","0.0"
"","1","142 (58.4)","62 (56.9)","80 (59.7)","","",""
"echo_tr (median [IQR])","","2.63 [2.40, 2.95]","2.67 [2.40, 2.80]","2.60 [2.30, 3.10]","0.867","nonnorm","87.7"
