"","level","Overall","0","1","p","test","Missing"
"n","","183","82","101","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","67.50 [65.00, 71.00]","65.00 [62.50, 70.00]","0.046","nonnorm","0.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.20 [0.90, 1.48]","0.98 [0.86, 1.23]","0.049","nonnorm","42.6"
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","8.35 [7.00, 11.00]","8.60 [7.05, 10.30]","0.759","nonnorm","45.4"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.20 [-20.82, 21.22]","-18.65 [-20.95, 24.35]","0.679","nonnorm","84.7"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [9.00, 15.00]","11.00 [8.73, 13.00]","0.177","nonnorm","57.9"
"echo_ef_abnormal (%)","0","182 (100.0)","82 (100.0)","100 (100.0)","NA","","0.5"
"echo_eeratio_abnormal (%)","0","94 (94.0)","40 (95.2)","54 (93.1)","0.986","","45.4"
"","1","6 (6.0)","2 (4.8)","4 (6.9)","","",""
"echo_gls_abnormal (%)","0","12 (42.9)","6 (42.9)","6 (42.9)","1.000","","84.7"
"","1","16 (57.1)","8 (57.1)","8 (57.1)","","",""
"echo_lateral_e_abnormal (%)","0","55 (71.4)","24 (72.7)","31 (70.5)","1.000","","57.9"
"","1","22 (28.6)","9 (27.3)","13 (29.5)","","",""
"echo_tr_abnormal (%)","0","22 (73.3)","14 (82.4)","8 (61.5)","0.389","","83.6"
"","1","8 (26.7)","3 (17.6)","5 (38.5)","","",""
"echo_lavi_abnormal (%)","0","81 (57.4)","35 (53.8)","46 (60.5)","0.529","","23.0"
"","1","60 (42.6)","30 (46.2)","30 (39.5)","","",""
