"","level","Overall","0","1","p","test","Missing"
"n","","183","167","16","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","66.00 [62.50, 70.00]","67.75 [65.00, 71.25]","0.240","nonnorm","0.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.05 [0.86, 1.30]","1.27 [0.97, 1.35]","0.396","nonnorm","42.6"
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","8.40 [7.00, 10.90]","8.30 [7.85, 10.23]","0.715","nonnorm","45.4"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","-18.20 [-20.90, 23.20]","-25.90 [-25.90, -25.90]","0.122","nonnorm","84.7"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [8.73, 14.00]","13.00 [12.60, 15.00]","0.259","nonnorm","57.9"
"echo_ef_abnormal (%)","0","182 (100.0)","166 (100.0)","16 (100.0)","NA","exact","0.5"
"echo_eeratio_abnormal (%)","0","94 (94.0)","87 (93.5)","7 (100.0)","1.000","exact","45.4"
"","1","6 (6.0)","6 (6.5)","0 (0.0)","","",""
"echo_gls_abnormal (%)","0","12 (42.9)","12 (44.4)","0 (0.0)","1.000","exact","84.7"
"","1","16 (57.1)","15 (55.6)","1 (100.0)","","",""
"echo_lateral_e_abnormal (%)","0","55 (71.4)","51 (70.8)","4 (80.0)","1.000","exact","57.9"
"","1","22 (28.6)","21 (29.2)","1 (20.0)","","",""
"echo_tr_abnormal (%)","0","22 (73.3)","20 (71.4)","2 (100.0)","1.000","exact","83.6"
"","1","8 (26.7)","8 (28.6)","0 (0.0)","","",""
"echo_lavi_abnormal (%)","0","81 (57.4)","77 (58.8)","4 (40.0)","0.324","exact","23.0"
"","1","60 (42.6)","54 (41.2)","6 (60.0)","","",""
