"","level","Overall","0","1","p","test","Missing"
"n","","183","107","76","","",""
"echo_ef (median [IQR])","","66.00 [62.50, 70.00]","67.00 [62.50, 71.00]","66.00 [62.75, 69.50]","0.471","nonnorm","0.5"
"echo_earatio (median [IQR])","","1.05 [0.87, 1.30]","1.12 [0.90, 1.40]","1.02 [0.82, 1.30]","0.119","nonnorm","42.6"
"echo_eeratio (median [IQR])","","8.35 [7.00, 10.90]","9.00 [7.20, 11.00]","7.80 [7.00, 10.00]","0.190","nonnorm","45.4"
"echo_gls (median [IQR])","","-18.35 [-21.00, 22.95]","0.75 [-20.68, 22.45]","-19.95 [-22.12, 14.05]","0.443","nonnorm","84.7"
"echo_lateral_e (median [IQR])","","11.00 [8.80, 14.00]","11.00 [10.00, 14.00]","11.00 [8.30, 13.00]","0.238","nonnorm","57.9"
"echo_ef_abnormal (%)","0","182 (100.0)","107 (100.0)","75 (100.0)","NA","","0.5"
"echo_eeratio_abnormal (%)","0","94 (94.0)","57 (93.4)","37 (94.9)","1.000","","45.4"
"","1","6 (6.0)","4 (6.6)","2 (5.1)","","",""
"echo_gls_abnormal (%)","0","12 (42.9)","9 (50.0)","3 (30.0)","0.531","","84.7"
"","1","16 (57.1)","9 (50.0)","7 (70.0)","","",""
"echo_lateral_e_abnormal (%)","0","55 (71.4)","35 (77.8)","20 (62.5)","0.228","","57.9"
"","1","22 (28.6)","10 (22.2)","12 (37.5)","","",""
"echo_tr_abnormal (%)","0","22 (73.3)","11 (64.7)","11 (84.6)","0.421","","83.6"
"","1","8 (26.7)","6 (35.3)","2 (15.4)","","",""
"echo_lavi_abnormal (%)","0","81 (57.4)","44 (53.0)","37 (63.8)","0.271","","23.0"
"","1","60 (42.6)","39 (47.0)","21 (36.2)","","",""
