"","level","Overall","0","1","2","p","test","Missing"
"n","","94","34","20","40","","",""
"age (median [IQR])","","58.10 [50.47, 63.75]","53.65 [43.42, 65.02]","61.45 [55.95, 63.75]","57.90 [51.95, 63.28]","0.258","nonnorm","0.0"
"sex_male (%)","0","39 (41.5)","15 (44.1)","10 (50.0)","14 (35.0)","0.500","","0.0"
"","1","55 (58.5)","19 (55.9)","10 (50.0)","26 (65.0)","","",""
"race (%)","1","78 (83.0)","30 (88.2)","15 (75.0)","33 (82.5)","0.550","","0.0"
"","2","4 (4.3)","0 (0.0)","2 (10.0)","2 (5.0)","","",""
"","3","1 (1.1)","0 (0.0)","0 (0.0)","1 (2.5)","","",""
"","4","11 (11.7)","4 (11.8)","3 (15.0)","4 (10.0)","","",""
"hispanic (%)","0","78 (83.0)","27 (79.4)","19 (95.0)","32 (80.0)","0.272","","0.0"
"","1","16 (17.0)","7 (20.6)","1 (5.0)","8 (20.0)","","",""
"cirrhosis_etiology (%)","1","59 (62.8)","21 (61.8)","12 (60.0)","26 (65.0)","0.610","","0.0"
"","2","15 (16.0)","6 (17.6)","3 (15.0)","6 (15.0)","","",""
"","3","3 (3.2)","0 (0.0)","2 (10.0)","1 (2.5)","","",""
"","4","7 (7.4)","4 (11.8)","0 (0.0)","3 (7.5)","","",""
"","5","6 (6.4)","1 (2.9)","2 (10.0)","3 (7.5)","","",""
"","6","4 (4.3)","2 (5.9)","1 (5.0)","1 (2.5)","","",""
"etoh_hepatitis (%)","0","65 (69.1)","23 (67.6)","16 (80.0)","26 (65.0)","0.481","","0.0"
"","1","29 (30.9)","11 (32.4)","4 (20.0)","14 (35.0)","","",""
"hegrade_admit (%)","0","51 (54.8)","16 (48.5)","12 (60.0)","23 (57.5)","0.870","","1.1"
"","1","27 (29.0)","11 (33.3)","5 (25.0)","11 (27.5)","","",""
"","2","10 (10.8)","4 (12.1)","2 (10.0)","4 (10.0)","","",""
"","3","2 (2.2)","0 (0.0)","1 (5.0)","1 (2.5)","","",""
"","4","3 (3.2)","2 (6.1)","0 (0.0)","1 (2.5)","","",""
"admit_ascites (%)","1","5 (5.4)","1 (2.9)","3 (15.8)","1 (2.5)","0.102","","1.1"
"","2","55 (59.1)","18 (52.9)","9 (47.4)","28 (70.0)","","",""
"","3","33 (35.5)","15 (44.1)","7 (36.8)","11 (27.5)","","",""
"htn_medical_hx (%)","0","50 (53.2)","19 (55.9)","10 (50.0)","21 (52.5)","0.910","","0.0"
"","1","44 (46.8)","15 (44.1)","10 (50.0)","19 (47.5)","","",""
"dm_medical_hx (%)","0","63 (67.0)","20 (58.8)","16 (80.0)","27 (67.5)","0.278","","0.0"
"","1","31 (33.0)","14 (41.2)","4 (20.0)","13 (32.5)","","",""
"ckd_medical_hx (%)","0","66 (70.2)","22 (64.7)","15 (75.0)","29 (72.5)","0.666","","0.0"
"","1","28 (29.8)","12 (35.3)","5 (25.0)","11 (27.5)","","",""
"cad_medical_hx (%)","0","74 (78.7)","27 (79.4)","14 (70.0)","33 (82.5)","0.533","","0.0"
"","1","20 (21.3)","7 (20.6)","6 (30.0)","7 (17.5)","","",""
"sbp_ppx_preadmission (%)","0","64 (69.6)","24 (70.6)","16 (88.9)","24 (60.0)","0.356","","2.1"
"","1","20 (21.7)","6 (17.6)","2 (11.1)","12 (30.0)","","",""
"","2","3 (3.3)","1 (2.9)","0 (0.0)","2 (5.0)","","",""
"","3","5 (5.4)","3 (8.8)","0 (0.0)","2 (5.0)","","",""
"lactulose_preadmission (%)","0","43 (46.2)","15 (44.1)","11 (57.9)","17 (42.5)","0.516","","1.1"
"","1","50 (53.8)","19 (55.9)","8 (42.1)","23 (57.5)","","",""
"ascites_previous_comp (%)","0","11 (11.7)","2 (5.9)","3 (15.0)","6 (15.0)","0.418","","0.0"
"","1","83 (88.3)","32 (94.1)","17 (85.0)","34 (85.0)","","",""
"refascites_previous_comp (%)","0","37 (46.2)","17 (53.1)","8 (53.3)","12 (36.4)","0.331","","14.9"
"","1","43 (53.8)","15 (46.9)","7 (46.7)","21 (63.6)","","",""
"he_previous_comp (%)","0","43 (45.7)","15 (44.1)","9 (45.0)","19 (47.5)","0.956","","0.0"
"","1","51 (54.3)","19 (55.9)","11 (55.0)","21 (52.5)","","",""
"sbp_previous_comp (%)","0","71 (77.2)","27 (81.8)","14 (73.7)","30 (75.0)","0.725","","2.1"
"","1","21 (22.8)","6 (18.2)","5 (26.3)","10 (25.0)","","",""
"nonsbp_previous_comp (%)","0","75 (82.4)","25 (78.1)","13 (68.4)","37 (92.5)","0.056","","3.2"
"","1","16 (17.6)","7 (21.9)","6 (31.6)","3 (7.5)","","",""
"phtn_bleed_previous_comp (%)","0","72 (77.4)","29 (85.3)","15 (78.9)","28 (70.0)","0.288","","1.1"
"","1","21 (22.6)","5 (14.7)","4 (21.1)","12 (30.0)","","",""
"hcc_previous_comp (%)","0","89 (95.7)","33 (97.1)","18 (94.7)","38 (95.0)","0.886","","1.1"
"","1","4 (4.3)","1 (2.9)","1 (5.3)","2 (5.0)","","",""
"tips_previous_comp (%)","0","88 (93.6)","31 (91.2)","20 (100.0)","37 (92.5)","0.409","","0.0"
"","1","6 (6.4)","3 (8.8)","0 (0.0)","3 (7.5)","","",""
"baseline_scr_outpt (%)","0","54 (58.1)","18 (52.9)","14 (73.7)","22 (55.0)","0.298","","1.1"
"","1","39 (41.9)","16 (47.1)","5 (26.3)","18 (45.0)","","",""
"aki_previous_90days (%)","0","56 (60.9)","21 (61.8)","11 (57.9)","24 (61.5)","0.956","","2.1"
"","1","36 (39.1)","13 (38.2)","8 (42.1)","15 (38.5)","","",""
