"","level","Overall","0","1","p","test","Missing"
"n","","107","40","67","","",""
"echo_ef (median [IQR])","","66.00 [62.75, 70.50]","67.75 [65.00, 71.00]","66.00 [62.50, 70.00]","0.117","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.27 [1.02, 1.58]","1.00 [0.86, 1.30]","0.045","nonnorm","38.3"
"echo_eeratio (median [IQR])","","8.64 [7.00, 10.10]","8.30 [7.00, 10.23]","9.00 [6.92, 10.00]","0.919","nonnorm","39.3"
"echo_gls (median [IQR])","","22.70 [20.70, 25.50]","23.15 [19.65, 25.60]","22.70 [21.00, 25.30]","0.773","nonnorm","84.1"
"echo_lateral_e (median [IQR])","","12.00 [9.60, 14.00]","12.60 [9.90, 15.40]","11.50 [9.80, 13.00]","0.274","nonnorm","52.3"
"echo_ef_abnormal (%)","0","97 (90.7)","36 (90.0)","61 (91.0)","1.000","","0.0"
"","1","10 (9.3)","4 (10.0)","6 (9.0)","","",""
"echo_eeratio_abnormal (%)","0","62 (95.4)","24 (96.0)","38 (95.0)","1.000","","39.3"
"","1","3 (4.6)","1 (4.0)","2 (5.0)","","",""
"echo_gls_abnormal (%)","0","17 (100.0)","8 (100.0)","9 (100.0)","NA","","84.1"
"echo_lateral_e_abnormal (%)","0","38 (74.5)","14 (73.7)","24 (75.0)","1.000","","52.3"
"","1","13 (25.5)","5 (26.3)","8 (25.0)","","",""
"echo_tr_abnormal (%)","0","11 (73.3)","5 (83.3)","6 (66.7)","0.905","","86.0"
"","1","4 (26.7)","1 (16.7)","3 (33.3)","","",""
"echo_lavi_abnormal (%)","0","47 (57.3)","20 (62.5)","27 (54.0)","0.596","","23.4"
"","1","35 (42.7)","12 (37.5)","23 (46.0)","","",""
