"","level","Overall","0","1","p","test","Missing"
"n","","94","59","35","","",""
"echo_ef (median [IQR])","","67.00 [63.00, 70.75]","67.50 [62.75, 71.00]","66.00 [63.75, 67.75]","0.218","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.12 [0.93, 1.50]","1.10 [0.82, 1.30]","0.172","nonnorm","37.2"
"echo_eeratio (median [IQR])","","8.77 [7.00, 10.20]","9.00 [7.00, 10.53]","7.75 [6.85, 9.97]","0.301","nonnorm","38.3"
"echo_gls (median [IQR])","","0.65 [-20.77, 25.00]","19.80 [-21.00, 23.80]","-18.50 [-19.95, 25.20]","0.791","nonnorm","83.0"
"echo_lateral_e (median [IQR])","","11.50 [9.40, 14.00]","11.00 [10.10, 14.00]","12.30 [9.00, 13.00]","0.698","nonnorm","51.1"
"echo_ef_abnormal (%)","0","85 (90.4)","55 (93.2)","30 (85.7)","0.405","","0.0"
"","1","9 (9.6)","4 (6.8)","5 (14.3)","","",""
"echo_eeratio_abnormal (%)","0","55 (94.8)","33 (91.7)","22 (100.0)","0.436","","38.3"
"","1","3 (5.2)","3 (8.3)","0 (0.0)","","",""
"echo_gls_abnormal (%)","0","16 (100.0)","9 (100.0)","7 (100.0)","NA","","83.0"
"echo_lateral_e_abnormal (%)","0","34 (73.9)","23 (79.3)","11 (64.7)","0.459","","51.1"
"","1","12 (26.1)","6 (20.7)","6 (35.3)","","",""
"echo_tr_abnormal (%)","0","10 (76.9)","6 (75.0)","4 (80.0)","1.000","","86.2"
"","1","3 (23.1)","2 (25.0)","1 (20.0)","","",""
"echo_lavi_abnormal (%)","0","39 (55.7)","20 (47.6)","19 (67.9)","0.154","","25.5"
"","1","31 (44.3)","22 (52.4)","9 (32.1)","","",""
