"","level","Overall","0","1","p","test","Missing"
"n","","94","34","60","","",""
"echo_ef (median [IQR])","","67.00 [63.00, 70.75]","68.50 [65.00, 72.50]","65.50 [62.50, 70.00]","0.059","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.29 [1.02, 1.48]","1.00 [0.86, 1.30]","0.043","nonnorm","37.2"
"echo_eeratio (median [IQR])","","8.77 [7.00, 10.20]","8.35 [7.22, 10.42]","9.00 [7.00, 10.00]","0.902","nonnorm","38.3"
"echo_gls (median [IQR])","","0.65 [-20.77, 25.00]","-18.50 [-20.85, 21.80]","22.70 [-20.70, 25.30]","0.368","nonnorm","83.0"
"echo_lateral_e (median [IQR])","","11.50 [9.40, 14.00]","12.02 [10.35, 15.20]","11.50 [9.40, 13.00]","0.287","nonnorm","51.1"
"echo_ef_abnormal (%)","0","85 (90.4)","31 (91.2)","54 (90.0)","1.000","","0.0"
"","1","9 (9.6)","3 (8.8)","6 (10.0)","","",""
"echo_eeratio_abnormal (%)","0","55 (94.8)","19 (95.0)","36 (94.7)","1.000","","38.3"
"","1","3 (5.2)","1 (5.0)","2 (5.3)","","",""
"echo_gls_abnormal (%)","0","16 (100.0)","7 (100.0)","9 (100.0)","NA","","83.0"
"echo_lateral_e_abnormal (%)","0","34 (73.9)","12 (75.0)","22 (73.3)","1.000","","51.1"
"","1","12 (26.1)","4 (25.0)","8 (26.7)","","",""
"echo_tr_abnormal (%)","0","10 (76.9)","4 (100.0)","6 (66.7)","0.546","","86.2"
"","1","3 (23.1)","0 (0.0)","3 (33.3)","","",""
"echo_lavi_abnormal (%)","0","39 (55.7)","16 (61.5)","23 (52.3)","0.613","","25.5"
"","1","31 (44.3)","10 (38.5)","21 (47.7)","","",""
