"","level","Overall","0","1","p","test","Missing"
"n","","107","97","10","","",""
"echo_ef (median [IQR])","","66.00 [62.75, 70.50]","66.00 [62.50, 70.00]","69.50 [67.50, 74.00]","0.025","nonnorm","0.0"
"echo_earatio (median [IQR])","","1.10 [0.90, 1.40]","1.10 [0.90, 1.40]","1.30 [1.03, 1.41]","0.528","nonnorm","38.3"
"echo_eeratio (median [IQR])","","8.64 [7.00, 10.10]","8.64 [7.00, 10.10]","8.73 [8.08, 9.69]","0.662","nonnorm","39.3"
"echo_gls (median [IQR])","","22.70 [20.70, 25.50]","22.60 [20.47, 25.35]","25.90 [25.90, 25.90]","0.307","nonnorm","84.1"
"echo_lateral_e (median [IQR])","","12.00 [9.60, 14.00]","11.00 [9.15, 14.00]","13.00 [12.80, 14.00]","0.279","nonnorm","52.3"
"echo_ef_abnormal (%)","0","71 (66.4)","61 (62.9)","10 (100.0)","0.044","","0.0"
"","1","36 (33.6)","36 (37.1)","0 (0.0)","","",""
"echo_eeratio_abnormal (%)","0","62 (95.4)","58 (95.1)","4 (100.0)","1.000","","39.3"
"","1","3 (4.6)","3 (4.9)","0 (0.0)","","",""
"echo_gls_abnormal (%)","0","17 (100.0)","16 (100.0)","1 (100.0)","NA","","84.1"
"echo_lateral_e_abnormal (%)","0","38 (74.5)","35 (72.9)","3 (100.0)","0.718","","52.3"
"","1","13 (25.5)","13 (27.1)","0 (0.0)","","",""
"echo_tr_abnormal (%)","0","11 (73.3)","10 (71.4)","1 (100.0)","1.000","","86.0"
"","1","4 (26.7)","4 (28.6)","0 (0.0)","","",""
"echo_lavi_abnormal (%)","0","47 (57.3)","44 (59.5)","3 (37.5)","0.414","","23.4"
"","1","35 (42.7)","30 (40.5)","5 (62.5)","","",""
